Timestamp,Field,Current Years of Experience (working Software),"Salary (please specify currency ie. PHP 25,000, USD 500)",Position / Occupational Title,"What city, country is your work based in? (ie. Makati, Philippines)",University attended,Course studied,Did you finish university?,What is the focus of your work? (answer 'Other' if not in this list),"Technologies Used at Work (ie. Ruby on Rails, Angular 4, Microsoft Azure)"
11/16/2017 12:51:21,Corporate,1,PHP 25000,Software Engineer,Taguig,"University of the Philippines, Diliman",BS Computer Science,Yes,Enterprise Systems,Salesforce
11/16/2017 12:53:25,Corporate,1,PHP 25000,Developer,"BGC, Philippines",UPLB,BS Computer Science,Yes,Web Development,"Angular JS, Angular 4, CSS, HTML, Typescript, SQL, Javascript"
11/16/2017 12:56:08,Startup,2,PHP 35000,Data Analyst,"Pasig City, Philippines",University of the Philippines,BS Computer Science,Yes,Data Science / Data Engineering,Python/Django
11/16/2017 13:05:20,Corporate,3,PHP 55000,Software Developer,Taguig,Ilocos Norte,Computer Science,Yes,"Enterprise Systems, Web Development",Spring
11/16/2017 13:09:04,Startup,4,PHP 150000,Full Stack Web Developer,PH,Mapua,,Yes,"Human Resource, UI / UX, Web Development",React
11/16/2017 13:13:54,Corporate,2,PHP 45000,,,,,Yes,Software Engineering,"C++, redis, rabbitmq, php, java"
11/16/2017 13:16:23,Startup,10,PHP 110000,Tech lead,Makati PH,PUP - Manila,BSECE,No,Software Engineering,"PHP, Angular, MongoDB, MySQL, AWS"
11/16/2017 13:22:04,Academe,1,PHP 25000,,,,,Yes,,
11/16/2017 13:25:34,Startup,3,PHP 35000,software engineer,pasig,colegio de san juan de letran - calamba,it,Yes,"Devops, eCommerce, Software Engineering, Web Development","Python - flask and django
Html css Javascript
Aws
Ruby on rails"
11/16/2017 13:36:28,Consultancy,14,PHP 90000,Senior software engineer,Mandaluyong,Up diliman,Bs computer science,Yes,Software Engineering,"C, c++, lamp, redis, memcached"
11/16/2017 13:38:44,Corporate,3,PHP 55000,Data analyst,BGC,UPD,BSCS,Yes,Data Science / Data Engineering,R. Python
11/16/2017 14:21:28,Government,2,PHP 39151,Junior ICT Associate,"Quezon City, Philippines",UP Diliman,BS CS,Yes,"Education, Human Resource, Upper Level Management",Oracle
